truth_threshold,match_probability,row_count,p,n,tp,tn,fp,fn,P_rate,N_rate,tp_rate,tn_rate,fp_rate,fn_rate,precision,recall,specificity,npv,accuracy,f1,f2,f0_5,p4,phi
-386.3815789246526,4.870291679296776e-117,15168.0,59.0,15109.0,59.0,0.0,15109.0,0.0,0.0038897679324894517,0.99611026,1.0,0.0,1.0,0.0,0.0038897679324894517,1.0,0.0,1.0,0.0038897679324894517,0.007749392526433309,0.01915086990392106,0.004857486292009023,0.0,0.0
-383.0542268974995,4.888636409504085e-116,15168.0,59.0,15109.0,59.0,166.0,14943.0,0.0,0.0038897679324894517,0.99611026,1.0,0.010986829042292673,0.9890131709577074,0.0,0.003932808958805493,1.0,0.010986829042292673,1.0,0.01483386075949367,0.007834805125821659,0.019359495996849982,0.0049111825128606386,0.011517776318880351,0.00657336289021023
-377.0286141741391,3.1847687999070763e-114,15168.0,59.0,15109.0,59.0,185.0,14924.0,0.0,0.0038897679324894517,0.99611026,1.0,0.012244357667615328,0.9877556423323847,0.0,0.003937796168991523,1.0,0.012244357667615328,1.0,0.01608649789029536,0.00784470150245978,0.01938366515539786,0.0049174042773082625,0.011847659612343275,0.006943758687864781
-373.701262146986,3.1967647394224253e-113,15168.0,59.0,15109.0,59.0,188.0,14921.0,0.0,0.0038897679324894517,0.99611026,1.0,0.012442914818982064,0.9875570851810179,0.0,0.003938584779706275,1.0,0.012442914818982064,1.0,0.01628428270042194,0.007846266374094022,0.019387486855941116,0.004918388102502542,0.011895368586714496,0.007000533902583746
-338.4127100329255,1.3416009778834578e-102,15168.0,59.0,15109.0,59.0,194.0,14915.0,0.0,0.0038897679324894517,0.99611026,1.0,0.012840029121715535,0.9871599708782844,0.0,0.003940162949111794,1.0,0.012840029121715535,1.0,0.016679852320675106,0.007849397991086277,0.019395134779750165,0.004920356934367443,0.011987602895729796,0.007112791787399656
-330.14186479694354,4.143772192527729e-100,15168.0,59.0,15109.0,59.0,197.0,14912.0,0.0,0.0038897679324894517,0.99611026,1.0,0.013038586273082268,0.9869614137269177,0.0,0.003940952508182486,1.0,0.013038586273082268,1.0,0.016877637130801686,0.007850964737192281,0.01939896100480042,0.004921341941511102,0.012032203198580525,0.007168294725808734
-329.5208415817671,6.37297900055442e-100,15168.0,59.0,15109.0,59.0,199.0,14910.0,0.0,0.0038897679324894517,0.99611026,1.0,0.013170957707326758,0.9868290422926732,0.0,0.0039414790567172155,1.0,0.013170957707326758,1.0,0.017009493670886076,0.007852009582113389,0.01940151266030911,0.004921998832068074,0.01206139900311885,0.007205071405637603
-53.47087470032586,8.010558951001727e-17,15168.0,59.0,15109.0,58.0,199.0,14910.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.013170957707326758,0.9868290422926732,0.01694915254237288,0.003874933190807055,0.9830508474576272,0.013170957707326758,0.995,0.016943565400843883,0.007719438344313569,0.01907392791370692,0.004838898066109359,0.01190420017043572,-0.0020617278209246258
-53.30125071125789,9.009998724646681e-17,15168.0,59.0,15109.0,58.0,12940.0,2169.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.8564431795618506,0.14355682043814944,0.01694915254237288,0.026044005388414906,0.9830508474576272,0.8564431795618506,0.9999227262189939,0.8569356540084389,0.05074365704286964,0.11774259033698742,0.03234080517452883,0.09619664865190494,0.14764455995951078
-50.14352267317277,8.040731998622329e-16,15168.0,59.0,15109.0,58.0,13005.0,2104.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.8607452511747965,0.13925474882520353,0.01694915254237288,0.02682701202590194,0.9830508474576272,0.8607452511747965,0.999923112409657,0.8612209915611815,0.05222872579918955,0.12093411175979983,0.03330653497186172,0.09887538086058312,0.15023864561642108
